# ID X Y x/chip
0 -52.9753 27.6492 6
1 -47.6804 27.5492 13.6692
2 -42.1351 27.6492 21.3383
3 -36.9409 27.5743 29.0075
4 -31.645 27.5492 36.6767
5 -26.4508 27.4743 44.3459
6 -21.0805 27.4994 52.015
7 -15.7603 27.5243 59.6842
8 -10.5401 27.5243 67.3534
9 -5.27012 27.4994 75.0226
10 0.124797 27.5243 82.6917
11 5.39491 27.4245 90.3609
12 10.665 27.4743 98.0301
13 15.8101 27.4743 105.699
14 21.2301 27.4994 113.368
15 26.5501 27.5992 121.038
16 31.8702 27.6241 128.707
17 37.0153 27.4994 136.376
18 42.4853 27.5992 144.045
19 47.6554 27.6241 151.714
20 53.0752 27.6241 159.383
21 -50.1534 23.0285 167.053
22 -44.933 23.2783 174.722
23 -39.5878 23.0784 182.391
24 -34.3433 22.9786 190.06
25 -29.1228 22.9786 197.729
26 -23.7274 23.0535 205.398
27 -18.6076 22.9036 213.068
28 -13.1627 22.8786 220.737
29 -7.86768 22.9535 228.406
30 -2.59765 23.0035 236.075
31 2.79737 22.9036 243.744
32 7.99247 22.8037 251.414
33 13.2626 22.9036 259.083
34 18.5826 22.9036 266.752
35 23.7778 22.8786 274.421
36 29.1476 23.0035 282.09
37 34.4927 23.0535 289.759
38 39.6879 23.0784 297.429
39 45.0079 23.0035 305.098
40 50.3528 23.0285 312.767
41 -52.9261 18.3079 320.436
42 -47.4803 18.4329 328.105
43 -42.285 18.4078 335.774
44 -37.0153 18.3579 343.444
45 -31.6209 18.3079 351.113
46 -26.4005 18.4078 358.782
47 -21.0301 18.3079 366.451
48 -15.6604 18.3579 374.12
49 -10.5401 18.3329 381.789
50 -5.12028 18.283 389.459
51 0.0249375 18.3579 397.128
52 5.34492 18.3579 404.797
53 10.665 18.3329 412.466
54 16.035 18.4578 420.135
55 21.2301 18.258 427.805
56 26.5751 18.283 435.474
57 31.8451 18.4578 443.143
58 37.1652 18.4578 450.812
59 42.4103 18.4329 458.481
60 47.6303 18.4078 466.15
61 53.0003 18.5078 473.82
62 -50.2529 13.6373 481.489
63 -44.9581 13.862 489.158
64 -39.6884 13.7371 496.827
65 -34.3181 13.6622 504.496
66 -29.1731 13.7871 512.165
67 -23.7525 13.887 519.835
68 -18.5576 13.7871 527.504
69 -13.2376 13.7122 535.173
70 -7.8177 13.7122 542.842
71 -2.59765 13.7122 550.511
72 2.74739 13.6622 558.18
73 7.9675 13.7622 565.85
74 13.2626 13.8121 573.519
75 18.7324 13.7871 581.188
76 23.7027 13.887 588.857
77 29.1976 13.8121 596.526
78 34.4927 13.8371 604.195
79 39.6628 13.887 611.865
80 45.1077 13.8121 619.534
81 50.4028 13.862 627.203
82 -52.8506 9.1914 634.872
83 -47.5306 9.1914 642.541
84 -42.3101 9.09159 650.211
85 -36.9409 9.06651 657.88
86 -31.6209 9.09159 665.549
87 -26.3502 9.24139 673.218
88 -21.1549 9.1165 680.887
89 -15.8103 9.1165 688.556
90 -10.4652 9.16649 696.226
91 -5.29506 9.14142 703.895
92 0.0498749 9.14142 711.564
93 5.34492 9.09159 719.233
94 10.69 9.24139 726.902
95 15.8352 9.1165 734.571
96 21.33 9.01663 742.241
97 26.5501 9.14142 749.91
98 31.7203 9.21648 757.579
99 37.2151 9.26636 765.248
100 42.3354 9.29138 772.917
101 47.8052 9.26636 780.586
102 53.0752 9.26636 788.256
103 -50.1534 4.44587 795.925
104 -45.0084 4.54584 803.594
105 -39.5627 4.54584 811.263
106 -34.4176 4.44587 818.932
107 -28.9981 4.42093 826.602
108 -23.7525 4.4708 834.271
109 -18.4827 4.54584 841.94
110 -13.0129 4.57078 849.609
111 -7.84272 4.57078 857.278
112 -2.4477 4.62076 864.947
113 2.62248 4.57078 872.617
114 8.06737 4.52079 880.286
115 13.1876 4.4708 887.955
116 18.5576 4.49585 895.624
117 23.8776 4.54584 903.293
118 29.1727 4.54584 910.962
119 34.4677 4.54584 918.632
120 39.6879 4.54584 926.301
121 45.0828 4.79554 933.97
122 50.3528 4.67064 941.639
123 -52.7751 -0.0249375 949.308
124 -47.4803 -0.0998595 956.977
125 -42.2106 -0.0498749 964.647
126 -36.9157 0.0749215 972.316
127 -31.6953 0.124906 979.985
128 -26.301 0 987.654
129 -21.0553 0.0749215 995.323
130 -15.7853 0 1002.99
131 -10.5652 0.0499843 1010.66
132 -5.12028 0.124906 1018.33
133 -0 0 1026
134 5.34492 0.0250469 1033.67
135 10.7149 -0.0249375 1041.34
136 16.06 0.0499843 1049.01
137 21.2801 0 1056.68
138 26.6501 0.0499843 1064.35
139 31.9201 0.0250469 1072.02
140 37.1652 0.0499843 1079.68
141 42.4602 -0.0249375 1087.35
142 47.8052 0.199828 1095.02
143 53.0752 0.0499843 1102.69
144 -50.2026 -4.67064 1110.36
145 -44.9581 -4.69557 1118.03
146 -39.4883 -4.64559 1125.7
147 -34.3181 -4.67064 1133.37
148 -29.0473 -4.77049 1141.04
149 -23.6027 -4.64559 1148.71
150 -18.3579 -4.64559 1156.38
151 -13.1627 -4.64559 1164.05
152 -7.89271 -4.64559 1171.71
153 -2.52273 -4.67064 1179.38
154 2.64753 -4.64559 1187.05
155 8.01749 -4.69557 1194.72
156 13.4624 -4.44576 1202.39
157 18.7075 -4.57067 1210.06
158 23.9276 -4.67064 1217.73
159 29.2726 -4.52068 1225.4
160 34.5176 -4.62065 1233.07
161 39.613 -4.72051 1240.74
162 45.0579 -4.54573 1248.41
163 50.4777 -4.64559 1256.08
164 -52.7007 -9.34126 1263.74
165 -47.4803 -9.14142 1271.41
166 -42.2106 -9.26625 1279.08
167 -36.965 -9.1913 1286.75
168 -31.5455 -9.16638 1294.42
169 -26.5 -9.26625 1302.09
170 -21.0553 -9.31624 1309.76
171 -15.7104 -9.16638 1317.43
172 -10.5152 -9.39115 1325.1
173 -5.29506 -9.29128 1332.77
174 0.0498749 -9.26625 1340.44
175 5.4449 -9.1913 1348.11
176 10.7399 -9.24129 1355.77
177 15.9101 -9.21637 1363.44
178 21.255 -9.09148 1371.11
179 26.5002 -9.1913 1378.78
180 31.9201 -9.09148 1386.45
181 37.29 -9.09148 1394.12
182 42.5602 -9.06651 1401.79
183 47.7054 -9.11639 1409.46
184 53.0003 -9.11639 1417.13
185 -50.0779 -13.9619 1424.8
186 -44.9078 -13.8121 1432.47
187 -39.5878 -13.9369 1440.14
188 -34.2426 -13.9119 1447.8
189 -28.9478 -13.887 1455.47
190 -23.6781 -13.8121 1463.14
191 -18.208 -13.887 1470.81
192 -13.0629 -13.8619 1478.48
193 -7.71782 -13.7121 1486.15
194 -2.4477 -13.837 1493.82
195 2.59754 -13.8619 1501.49
196 8.04246 -13.887 1509.16
197 13.5373 -13.7371 1516.83
198 18.7824 -13.7621 1524.5
199 23.8027 -13.8619 1532.17
200 29.2227 -13.8619 1539.83
201 34.5676 -13.7621 1547.5
202 39.8377 -13.787 1555.17
203 45.1077 -13.7371 1562.84
204 50.5277 -13.8121 1570.51
205 -52.7259 -18.4327 1578.18
206 -47.5306 -18.4327 1585.85
207 -42.3101 -18.5076 1593.52
208 -36.8906 -18.3828 1601.19
209 -31.5706 -18.3828 1608.86
210 -26.1511 -18.3578 1616.53
211 -21.005 -18.4577 1624.2
212 -15.8103 -18.3828 1631.86
213 -10.4153 -18.4077 1639.53
214 -5.09523 -18.4577 1647.2
215 0.174781 -18.4827 1654.87
216 5.56969 -18.4327 1662.54
217 10.8149 -18.3578 1670.21
218 15.985 -18.5326 1677.88
219 21.255 -18.3578 1685.55
220 26.6001 -18.3578 1693.22
221 31.8202 -18.4077 1700.89
222 37.1402 -18.4577 1708.56
223 42.4602 -18.4077 1716.23
224 47.9302 -18.3828 1723.89
225 52.9754 -18.3578 1731.56
226 -50.1031 -23.0783 1739.23
227 -44.8827 -23.0783 1746.9
228 -39.5627 -23.0284 1754.57
229 -34.2426 -23.0783 1762.24
230 -28.9478 -23.1534 1769.91
231 -23.7525 -23.0783 1777.58
232 -18.3329 -23.0783 1785.25
233 -13.1378 -23.0034 1792.92
234 -7.76781 -22.9784 1800.59
235 -2.47275 -23.0284 1808.26
236 2.92228 -23.0783 1815.92
237 7.94248 -22.9285 1823.59
238 13.3375 -23.1283 1831.26
239 18.6575 -23.0534 1838.93
240 24.0774 -22.9285 1846.6
241 29.4474 -23.0534 1854.27
242 34.5927 -23.0034 1861.94
243 39.8127 -22.9784 1869.61
244 45.2077 -23.0034 1877.28
245 50.5277 -23.0284 1884.95
246 -52.6756 -27.724 1892.62
247 -47.4311 -27.6491 1900.29
248 -42.1351 -27.724 1907.95
249 -36.8906 -27.5492 1915.62
250 -31.7456 -27.6491 1923.29
251 -26.2506 -27.6491 1930.96
252 -20.9306 -27.5742 1938.63
253 -15.8352 -27.5242 1946.3
254 -10.3654 -27.7489 1953.97
255 -5.17015 -27.5742 1961.64
256 0.249703 -27.5991 1969.31
257 5.39491 -27.6241 1976.98
258 10.7649 -27.5991 1984.65
259 16.1349 -27.5242 1992.32
260 21.305 -27.5242 1999.98
261 26.6999 -27.6241 2007.65
262 32.045 -27.5492 2015.32
263 37.2401 -27.5742 2022.99
264 42.6101 -27.5492 2030.66
265 48.0051 -27.4993 2038.33
266 53.35 -27.5242 2046
